ctyName,CCISO3,gdp_year,gdp_latest,gdp_growth_year,gdp_growth_latest,lpi_year,lpi_score,distance_from_th,fta_with_th,cte_2018,efi_score_2019,st_political risk,mlt_political risk,commercial risk,transfer restriction risk
Afghanistan,AFG,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Albania,ALB,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Algeria,DZA,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
American Samoa,ASM,2017.0,YES,2017.0,YES,,NO,YES,0,NO,NO,YES,YES,YES,YES
Angola,AGO,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Antigua and Barbuda,ATG,2018.0,YES,2018.0,YES,,NO,YES,0,YES,NO,YES,YES,YES,YES
Argentina,ARG,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Armenia,ARM,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Aruba,ABW,2017.0,YES,2017.0,YES,,NO,YES,0,NO,NO,YES,YES,YES,YES
Australia,AUS,2018.0,YES,2018.0,YES,2018.0,YES,YES,1,YES,YES,YES,YES,YES,YES
Austria,AUT,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Azerbaijan,AZE,2018.0,YES,2018.0,YES,2014.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Bahamas,BHS,2017.0,YES,2017.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Bahrain,BHR,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Bangladesh,BGD,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Barbados,BRB,2017.0,YES,2017.0,YES,,NO,YES,0,YES,YES,YES,YES,YES,YES
Belarus,BLR,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Belgium,BEL,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Belize,BLZ,2018.0,YES,2018.0,YES,,NO,YES,0,YES,YES,YES,YES,YES,YES
Benin,BEN,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Bermuda,BMU,2013.0,YES,2013.0,YES,,NO,YES,0,NO,NO,YES,YES,YES,YES
Bhutan,BTN,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Bolivia,BOL,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Bosnia Herzegovina,BIH,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Botswana,BWA,2018.0,YES,2018.0,YES,2016.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Br. Virgin Isds,VGB,,NO,,NO,,NO,YES,0,NO,NO,YES,YES,YES,YES
Brazil,BRA,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Brunei Darussalam,BRN,2018.0,YES,2018.0,YES,2018.0,YES,YES,1,YES,YES,YES,YES,YES,YES
Bulgaria,BGR,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Burkina Faso,BFA,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Burundi,BDI,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Cabo Verde,CPV,2018.0,YES,2018.0,YES,,NO,YES,0,YES,YES,YES,YES,YES,YES
Cambodia,KHM,2018.0,YES,2018.0,YES,2018.0,YES,YES,1,YES,YES,YES,YES,YES,YES
Cameroon,CMR,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Canada,CAN,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Cayman Isds,CYM,2017.0,YES,2017.0,YES,,NO,YES,0,NO,NO,YES,YES,YES,YES
Central African Rep.,CAF,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Chad,TCD,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Chile,CHL,2018.0,YES,2018.0,YES,2018.0,YES,YES,1,YES,YES,YES,YES,YES,YES
China,CHN,2018.0,YES,2018.0,YES,2018.0,YES,YES,1,YES,YES,YES,YES,YES,YES
"China, Hong Kong SAR",HKG,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
